id,Brand_Name,Color,Occasion,Size,Width,Model_Name,Market_Price,Lenskart_Price,Offer_Name,Quantity,Suited_For,Search_Product Name,Classification,Average_Ratings,Total_No_of_Ratings,Purchase_Count,Wishlist_Count
112992,Alcon Freshlook,No color available,Any occasion,No size,,Alcon Freshlook Turquoise Powered Bi-Weekly,1320,749,,-6,Any age group,Freshlook Colorblends Turquoise Color Lenses 2 Lens per Box,contact_lens,4.45,13,8489,5319
127521,Vincent Chase,Tortoise,Any occasion,Extra Narrow,127 mm,VC E11152,1700,1700,VCEYE,37,Any age group,Brown Tortoise Full Rim Rectangle Eyeglasses,eyeframe,4.4,344,55772,9175
135531,Vincent Chase Polarized,Silver,Vacation,Wide,143 mm,VC S12593/P,1500,1500,VCSUN,52,Any age group,Silver Rectangle/ Square Full Rim Sunglasses,sunglasses,4.55,71,6915,4836
146475,John Jacobs,Blue,Any occasion,Wide,140 mm,JJ E13746,5000,5000,JJBOGO,838,Any age group,Blue Transparent Full Rim Cat Eye Eyeglasses,eyeframe,5.0,4,3454,610
147610,John Jacobs Online,Silver,Any occasion,Extra Wide,149 mm,JJ E13938,5000,5000,JJBOGO,1933,Any age group,Silver Full Rim Hexagonal Eyeglasses,eyeframe,5.0,3,1670,1
147702,John Jacobs,Black,Everyday,Wide,139 mm,JJ E11291,5000,5000,JJEYE,1008,,Black Full Rim Square Eyeglasses,eyeframe,4.6,199,7325,1754
207362,Vincent Chase,Purple,Any occasion,Medium,137 mm,VC E15474,1700,1700,VCEYE,61,Any age group,No search keywords,eyeframe,0.0,0,2863,0
207933,Vincent Chase Online,Pink,Vacation,Medium,137 mm,VC S15213,1500,1500,VCSUN,418,Any age group,Pink Round Full Rim Sunglasses,sunglasses,4.3,3,441,0
208769,Vincent Chase Online,Black,Any occasion,Wide,138 mm,VC E15696,2000,2000,VCEYE,4,,Black Half Rim Square Eyeglasses,eyeframe,0.0,0,2610,0
209363,Vincent Chase Polarized,Blue,Vacation,Wide,142 mm,VC S15771,2000,2000,VCSUN,707,Any age group,Rectangle/ Square Full Rim Sunglasses,sunglasses,0.0,0,1227,0
209724,Vincent Chase,Black,Any occasion,Narrow,133 mm,VC E15836,2000,2000,VCEYE,119,Any age group,No search keywords,eyeframe,3.0,1,1621,0
210257,Hooper,White,Any occasion,5-8 yrs,121 mm,HP E15910M,1000,1000,HOOPEREYE,22,5-8 yrs,No search keywords,eyeframe,0.0,0,2001,0
210260,Hooper,White,,5-8 yrs,124 mm,HP E15912M,1000,1000,HOOPEREYE,639,5-8 yrs,Kids Glasses: Transparent Red Full Rim Rectangle 5-8 yrs Hooper Blue Billion HP E15912M-C1,eyeframe,0.0,0,536,0
212054,Hooper,Black,Any occasion,8-12 yrs,128 mm,LK S16249,2000,2000,VCEYE,104,8-12 yrs,No search keywords,sunglasses,0.0,0,1481,0
213246,Vincent Chase Polarized,Gold,Any occasion,Wide,142 mm,VC S16542,1500,1500,VCSUN,1339,Any age group,No search keywords,sunglasses,0.0,0,208,0
213510,John Jacobs,Blue,,Medium,137 mm,JJ E16580,5000,5000,JJEYE,257,,Blue Purple Full Rim Rectangle John Jacobs Rich Acetate JJ E16580-C1 Eyeglasses,eyeframe,0.0,0,238,0
134222,John Jacobs Online,Black,Everyday,Medium,135 mm,JJ E10118,3500,3500,JJBOGO,1720,Any age group,Dual Color Full Rim Round Eyeglasses,eyeframe,4.3,182,9062,2643
201404,John Jacobs,Gunmetal,Any occasion,Narrow,131 mm,JJ E12713,5000,5000,JJEYE,859,Any age group,Grey Full Rim Round Eyeglasses,eyeframe,0.0,0,1277,0
201450,John Jacobs,Blue,Any occasion,Medium,136 mm,JJ E13593,3500,3500,JJEYE,112,Any age group,Gunmetal Blue Half Rim Square Eyeglasses,eyeframe,0.0,0,2141,0
206033,Lenskart Air Online,Golden Yellow,Any occasion,Medium,136 mm,LA E15302,1700,1700,VCEYE,388,Any age group,Light Green Full Rim Round Eyeglasses,eyeframe,0.0,0,3206,0
212384,John Jacobs,Black,,Extra Wide,146 mm,JJ S16364,5000,5000,JJSUN,244,,Black Square Full Rim Sunglasses,sunglasses,0.0,0,238,0
213226,Vincent Chase Polarized,Silver,Any occasion,Medium,138 mm,VC S16533,1500,1500,VCSUN,1030,Any age group,No search keywords,sunglasses,0.0,0,190,0
136330,John Jacobs Online,Brown,Any occasion,Medium,135 mm,JJ E12787,3500,3500,JJBOGO,1143,Any age group,Brown Tortoise Full Rim Hexagonal Eyeglasses,eyeframe,4.5,62,6843,2665
72542,Alcon Aquacomfort,No color available,Any occasion,No size,,Alcon AquaComfort Plus Daily Disposable 10Hrs,1600,1545,,49995,Any age group,Dailies AquaComfort Plus 30 Lens per Box,contact_lens,4.7,15,12892,1302
143392,Aqualens,No color available,,No size,,Aqualens Daily Disposable Multifocal 24Hrs,2995,2000,,49996,,Aqualens 24H Multifocal Dailies 30LP,contact_lens,4.0,2,4465,351
146798,John Jacobs,Transparent,Party,Extra Wide,142 mm,JJ E13793,3500,3500,JJBOGO,1919,Any age group,Transparent Full Rim Cat Eye Eyeglasses,eyeframe,4.5,4,7388,1788
205227,Vincent Chase Online,Yellow,Party,Medium,136 mm,VC E15128,1700,1700,VCEYE,1,Any age group,Yellow Transparent Full Rim Square Eyeglasses,eyeframe,4.0,4,6948,0
212584,John Jacobs,Gold,Any occasion,Extra Wide,150 mm,JJ S16388XW,5000,5000,JJSUN,70,Any age group,No search keywords,sunglasses,0.0,0,485,0
122961,Vincent Chase,Gold,Vacation,Narrow,135 mm,VC 5158,1500,1500,VCSUN,856,Any age group,Golden Aviator Full Rim Sunglasses,sunglasses,4.45,512,21322,10699
146245,John Jacobs,Black,Any occasion,Medium,136 mm,JJ E13727,5000,5000,JJBOGO,374,Any age group,Matte Black Full Rim Hexagonal Eyeglasses,eyeframe,4.8,12,5988,2768
147403,John Jacobs,Rose Gold,Any occasion,Medium,137 mm,JJ E13891,5000,5000,JJBOGO,1159,Any age group,Rose Gold Full Rim Hexagonal Eyeglasses,eyeframe,0.0,0,2178,929
148214,John Jacobs,Blue,Any occasion,Extra Wide,144 mm,JJ S13991,6000,6000,JJSUN,11,Any age group,Blue Silver Rectangle Full Rim Sunglasses,sunglasses,4.0,1,3077,1161
